书名,信息,评分,评价数,金句
一千零一夜,纳训/人民文学出版社/2003-01/22.0,8.6,30162人评价,空
天使与魔鬼,[美]丹.布朗/朱振武/人民文学出版社/2005-2/29.80元,8.2,32039人评价,科学与宗教的大乱斗
七夜雪,沧月/北京十月文艺出版社/2006-10/25.00元,8.4,30223人评价,抵不过时间
ZOO,[日]乙一/李颖秋/当代世界出版社/2007-10/20.00元,8.6,29718人评价,噩梦中的一丝温度
人间词话,王国维/上海古籍出版社/1998-12-01/9.80元,9.0,27888人评价,空
一句顶一万句,刘震云/长江文艺出版社/2009-3/29.80,8.7,28975人评价,一句胜过千年
国境以南太阳以西,[日]村上春树/林少华/上海译文出版社/2001-8/13.50元,8.3,30757人评价,灾星下出生的恋人们
新名字的故事,[意]埃莱娜·费兰特/陈英/人民文学出版社/2017-4/59.00元,9.0,27396人评价,空
往事并不如烟,章诒和/人民文学出版社/2004-1/35.00元,8.6,28664人评价,知识分子的命运浮沉
文学回忆录（全2册）,木心讲述/广西师范大学出版社/2013-1-10/98.00元,9.2,26821人评价,木心留给世界的礼物
没有色彩的多崎作和他的巡礼之年,[日]村上春树/施小炜/南海出版公司/2013-10-1/39.50元,8.2,29896人评价,并不是一切都消失在了时间的长河里
雨季不再来,三毛/北京十月文艺出版社/2007-7/28.00元,8.7,28291人评价,空
京华烟云,林语堂/张振玉/陕西师范大学出版社/2005-7/43.00元,8.5,29017人评价,林语堂的《红楼梦》
尼罗河上的惨案,[英]阿加莎·克里斯蒂/宫英海/人民文学出版社/2006-5/22.00元,8.7,28305人评价,阿婆代表作之一
面纱,(英)W.萨默塞特·毛姆/阮景林/重庆/2012-05-01/32.00元,8.7,27972人评价,空
蔷薇岛屿,安妮宝贝/作家出版社/2002-8/18.00元,8.0,30586人评价,你们不会彼此遗忘。只会彼此消失
第一炉香,张爱玲/花城出版社/1997-3/11.5,8.4,28545人评价,空
最初的爱情最后的仪式,[英]伊恩·麦克尤恩/潘帕/南京大学出版社/2010-2/22.00元,8.0,29723人评价,别被封面骗了
生活在别处,[捷克]米兰·昆德拉/袁筱一/上海译文出版社/2004-5/25.00元,8.4,27697人评价,此处的生活唯有残酷
激荡三十年（上）,吴晓波/中信出版社浙江人民出版社/2007-1/35.00,8.8,25962人评价,这是一个最好的时代，也是一个最坏的时代
